color,accuracy,precision,recall,TP,TN,FP,FN
beige,0.816,0.658,0.202,25,3408,13,99
black,0.816,0.797,0.829,247,3628,63,51
blue,0.816,0.995,0.669,184,3587,1,91
brown,0.816,0.671,0.827,196,3554,96,41
cream,0.816,0.125,0.03,1,3457,7,32
crimson,0.816,0.2,0.444,4,3478,16,5
gold,0.816,0.5,0.08,2,3472,2,23
green,0.816,0.97,0.696,32,3512,1,14
grey,0.816,0.792,0.778,267,3616,70,76
navy-blue,0.816,0.36,0.689,31,3457,55,14
orange,0.816,0.95,0.404,19,3485,1,28
red,0.816,0.983,0.903,234,3700,4,25
silver,0.816,0.683,0.469,99,3436,46,112
titanium,0.816,0.383,0.852,46,3459,74,8
white,0.816,0.88,0.99,1420,4706,194,15
yellow,0.816,1.0,0.833,45,3531,0,9
